Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,1.222
0.6,4.363
0.65,4.712
0.7,2.618
0.75,1.745
0.8,1.047
0.85,2.793
0.9,6.283
0.95,8.203
1,8.203
1.05,7.679
1.1,7.854
1.15,8.552
1.2,10.297
1.25,9.425
1.3,7.505
1.35,6.807
1.4,6.807
1.45,7.679
1.5,7.854
1.55,8.727
1.6,9.076
1.65,8.378
1.7,8.378
1.75,9.25
1.8,9.425
1.85,9.076
1.9,10.821
1.95,12.043
2,10.472
2.05,8.029
2.1,5.411
2.15,3.491
2.2,6.109
2.25,12.392
2.3,10.647
2.35,6.981
2.4,8.378
2.45,8.901
2.5,9.25
2.55,10.297
2.6,10.821
2.65,10.472
2.7,9.774
2.75,8.901
2.8,8.901
2.85,9.076
2.9,9.076
2.95,7.854
3,6.981
3.05,6.981
3.1,6.981
3.15,7.33
3.2,7.156
3.25,7.505
3.3,8.727
3.35,10.123
3.4,10.472
3.45,10.297
3.5,9.425
3.55,8.029
3.6,8.203
3.65,9.425
3.7,9.774
3.75,7.679
3.8,7.33
3.85,7.33
3.9,5.236
3.95,4.712
4,5.934
4.05,8.029
4.1,8.901
4.15,8.727
4.2,9.599
4.25,10.123
4.3,9.425
4.35,9.25
4.4,9.425
4.45,9.599
4.5,10.123
4.55,9.774
4.6,9.25
4.65,8.901
4.7,8.203
4.75,8.203
4.8,10.821
4.85,11.345
4.9,10.123
4.95,10.297
5,8.727
5.05,6.632
5.1,4.712
5.15,1.222
5.2,-4.189
5.25,-9.425
5.3,-13.614
5.35,-14.661
5.4,-12.392
5.45,-9.599
5.5,-9.599
5.55,-10.996
5.6,-11.17
5.65,-10.472
5.7,-9.425
5.75,-12.217
5.8,-14.137
5.85,-13.09
5.9,-12.217
5.95,-13.09
6,-13.439
6.05,-9.948
6.1,-9.076
6.15,-10.297
6.2,-10.123
6.25,-10.472
6.3,-12.217
6.35,-13.265
6.4,-12.915
6.45,-11.694
6.5,-10.647
6.55,-8.901
6.6,-7.156
6.65,-7.156
6.7,-9.076
6.75,-11.868
6.8,-10.821
6.85,-9.774
6.9,-11.17
6.95,-11.17
7,-10.123
7.05,-9.076
7.1,-9.25
7.15,-9.774
7.2,-9.948
7.25,-8.552
7.3,-7.505
7.35,-8.727
7.4,-10.821
7.45,-9.948
7.5,-8.378
7.55,-9.425
7.6,-8.901
7.65,-9.774
7.7,-8.203
7.75,-3.84
7.8,-4.014
7.85,-4.014
7.9,-0.175
7.95,7.505
8,19.373
8.05,17.279
8.1,10.996
8.15,16.232
8.2,13.614
8.25,6.109
8.3,1.745
8.35,-3.665
8.4,-10.297
8.45,-13.09
8.5,-11.519
8.55,-10.821
8.6,-10.123
8.65,-8.727
8.7,-6.807
8.75,-2.618
8.8,0.175
8.85,0.175
8.9,-0.175
8.95,-0.175
9,0
9.05,0
9.1,0
9.15,0
9.2,0
9.25,0
9.3,0
9.35,0
9.4,0
9.45,0
9.5,0
9.55,0
9.6,0
9.65,0
9.7,0
9.75,0
9.8,0
9.85,0
9.9,0
9.95,0
10,0
10.05,0
10.1,0
10.15,0
10.2,0
10.25,0
10.3,0
10.35,0
10.4,0