Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:23:30 PM,0.00,0.14,-0.23,10.26
2/10/2020,2:23:30 PM,0.05,0.15,-0.22,10.27
2/10/2020,2:23:30 PM,0.10,0.14,-0.24,10.28
2/10/2020,2:23:30 PM,0.15,0.13,-0.23,10.28
2/10/2020,2:23:30 PM,0.20,0.13,-0.23,10.27
2/10/2020,2:23:30 PM,0.25,0.15,-0.23,10.26
2/10/2020,2:23:30 PM,0.30,0.15,1.74,10.26
2/10/2020,2:23:30 PM,0.35,0.14,1.52,10.26
2/10/2020,2:23:31 PM,0.40,0.15,0.73,10.3
2/10/2020,2:23:31 PM,0.45,0.16,1.02,10.26
2/10/2020,2:23:31 PM,0.50,0.16,0.53,10.23
2/10/2020,2:23:31 PM,0.55,0.11,1.51,10.27
2/10/2020,2:23:31 PM,0.60,0.13,-0.36,10.29
2/10/2020,2:23:31 PM,0.65,0.11,-0.1,10.29
2/10/2020,2:23:31 PM,0.70,0.16,0.79,10.31
2/10/2020,2:23:31 PM,0.75,0.16,0.24,10.26
2/10/2020,2:23:31 PM,0.80,0.16,-0.36,10.24
2/10/2020,2:23:31 PM,0.85,0.1,-1.03,10.23
2/10/2020,2:23:31 PM,0.90,0.18,-2.34,10.29
2/10/2020,2:23:31 PM,0.95,0.18,-2.24,10.3
2/10/2020,2:23:31 PM,1.00,-0.31,-3.59,10.31
2/10/2020,2:23:31 PM,1.05,0.2,-1.9,10.27
2/10/2020,2:23:31 PM,1.10,0.42,-0.71,10.27
2/10/2020,2:23:31 PM,1.15,0.22,-0.3,10.26
2/10/2020,2:23:31 PM,1.20,0.17,-0.22,10.27
2/10/2020,2:23:31 PM,1.25,0.19,-0.26,10.25
2/10/2020,2:23:31 PM,1.30,0.18,-0.27,10.25
2/10/2020,2:23:31 PM,1.35,0.14,-0.24,10.26
2/10/2020,2:23:32 PM,1.40,0.14,-0.23,10.26
2/10/2020,2:23:32 PM,1.45,0.16,-0.26,10.26
2/10/2020,2:23:32 PM,1.50,0.16,-0.25,10.27
2/10/2020,2:23:32 PM,1.55,0.17,-0.23,10.27
2/10/2020,2:23:32 PM,1.60,0.16,-0.25,10.26
2/10/2020,2:23:32 PM,1.65,0.15,-0.25,10.27
2/10/2020,2:23:32 PM,1.70,0.15,-0.24,10.28
2/10/2020,2:23:32 PM,1.75,0.15,-0.24,10.27
2/10/2020,2:23:32 PM,1.80,0.16,-0.26,10.28
2/10/2020,2:23:32 PM,1.85,0.14,-0.24,10.27
2/10/2020,2:23:32 PM,1.90,0.15,-0.24,10.27
2/10/2020,2:23:32 PM,1.95,0.16,-0.24,10.27
2/10/2020,2:23:32 PM,2.00,0.15,-0.25,10.26
2/10/2020,2:23:32 PM,2.05,0.16,-0.23,10.27
2/10/2020,2:23:32 PM,2.10,0.17,-0.25,10.24
2/10/2020,2:23:32 PM,2.15,0.14,-0.24,10.26
2/10/2020,2:23:32 PM,2.20,0.17,-0.24,10.26
2/10/2020,2:23:32 PM,2.25,0.16,-0.25,10.27
2/10/2020,2:23:32 PM,2.30,0.15,-0.24,10.28
2/10/2020,2:23:32 PM,2.35,0.15,-0.25,10.26
2/10/2020,2:23:33 PM,2.40,0.16,-0.24,10.26
2/10/2020,2:23:33 PM,2.45,0.16,-0.24,10.28