Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
1/20/2020,2:51:32 PM,0.00,0.48,-0.89,1.05
1/20/2020,2:51:32 PM,0.10,0.49,-0.89,1.05
1/20/2020,2:51:32 PM,0.20,0.49,-0.9,1.05
1/20/2020,2:51:32 PM,0.30,0.49,-0.9,1.06
1/20/2020,2:51:32 PM,0.40,0.49,-0.89,1.05
1/20/2020,2:51:32 PM,0.50,0.49,-0.89,1.05
1/20/2020,2:51:32 PM,0.60,0.49,-0.89,1.05
1/20/2020,2:51:32 PM,0.70,0.48,-0.89,1.05
1/20/2020,2:51:32 PM,0.80,0.48,-0.89,1.05
1/20/2020,2:51:33 PM,0.90,0.49,-0.9,1.05
1/20/2020,2:51:33 PM,1.00,0.49,-0.9,1.05
1/20/2020,2:51:33 PM,1.10,0.49,-0.9,1.05
1/20/2020,2:51:33 PM,1.20,0.49,-0.89,1.05
1/20/2020,2:51:33 PM,1.30,0.49,-0.89,1.05
1/20/2020,2:51:33 PM,1.40,0.49,-0.88,1.05
1/20/2020,2:51:33 PM,1.50,0.48,-0.89,1.05
1/20/2020,2:51:33 PM,1.60,0.49,-0.89,1.05
1/20/2020,2:51:33 PM,1.70,0.49,-0.9,1.05
1/20/2020,2:51:33 PM,1.80,0.49,-0.9,1.05
1/20/2020,2:51:34 PM,1.90,0.49,-0.9,1.05
1/20/2020,2:51:34 PM,2.00,0.49,-0.89,1.05
1/20/2020,2:51:34 PM,2.10,0.49,-0.89,1.05
1/20/2020,2:51:34 PM,2.20,0.48,-0.89,1.05
1/20/2020,2:51:34 PM,2.30,0.49,-0.89,1.05
1/20/2020,2:51:34 PM,2.40,0.48,-0.9,1.05
1/20/2020,2:51:34 PM,2.50,0.49,-0.9,1.05
1/20/2020,2:51:34 PM,2.60,0.49,-0.9,1.05
1/20/2020,2:51:34 PM,2.70,0.49,-0.89,1.05
1/20/2020,2:51:34 PM,2.80,0.49,-0.89,1.04
1/20/2020,2:51:35 PM,2.90,0.49,-0.88,1.04
1/20/2020,2:51:35 PM,3.00,0.48,-0.89,1.05
1/20/2020,2:51:35 PM,3.10,0.48,-0.89,1.05
1/20/2020,2:51:35 PM,3.20,0.49,-0.9,1.05
1/20/2020,2:51:35 PM,3.30,0.49,-0.9,1.04
1/20/2020,2:51:35 PM,3.40,0.49,-0.9,1.05
1/20/2020,2:51:35 PM,3.50,0.49,-0.89,1.05
1/20/2020,2:51:35 PM,3.60,0.49,-0.89,1.05
1/20/2020,2:51:35 PM,3.70,0.49,-0.89,1.06
1/20/2020,2:51:35 PM,3.80,0.48,-0.89,1.05
1/20/2020,2:51:36 PM,3.90,0.48,-0.9,1.05
1/20/2020,2:51:36 PM,4.00,0.49,-0.9,1.05
1/20/2020,2:51:36 PM,4.10,0.49,-0.9,1.05
1/20/2020,2:51:36 PM,4.20,0.49,-0.89,1.05
1/20/2020,2:51:36 PM,4.30,0.49,-0.89,1.05
1/20/2020,2:51:36 PM,4.40,0.49,-0.88,1.05
1/20/2020,2:51:36 PM,4.50,0.48,-0.89,1.05
1/20/2020,2:51:36 PM,4.60,0.48,-0.89,1.05
1/20/2020,2:51:36 PM,4.70,0.49,-0.9,1.05
1/20/2020,2:51:36 PM,4.80,0.49,-0.9,1.05
1/20/2020,2:51:37 PM,4.90,0.49,-0.9,1.06
1/20/2020,2:51:37 PM,5.00,0.49,-0.89,1.05
1/20/2020,2:51:37 PM,5.10,0.49,-0.89,1.05
1/20/2020,2:51:37 PM,5.20,0.49,-0.89,1.05
1/20/2020,2:51:37 PM,5.30,0.49,-0.89,1.05
1/20/2020,2:51:37 PM,5.40,0.49,-0.9,1.05
1/20/2020,2:51:37 PM,5.50,0.49,-0.9,1.05
1/20/2020,2:51:37 PM,5.60,0.49,-0.9,1.05
1/20/2020,2:51:37 PM,5.70,0.49,-0.89,1.04
1/20/2020,2:51:37 PM,5.80,0.49,-0.89,1.04
1/20/2020,2:51:38 PM,5.90,0.49,-0.88,1.05
1/20/2020,2:51:38 PM,6.00,0.48,-0.89,1.05
1/20/2020,2:51:38 PM,6.10,0.48,-0.89,1.05
1/20/2020,2:51:38 PM,6.20,0.49,-0.9,1.05
1/20/2020,2:51:38 PM,6.30,0.49,-0.9,1.05
1/20/2020,2:51:38 PM,6.40,0.49,-0.9,1.05
1/20/2020,2:51:38 PM,6.50,0.49,-0.89,1.05
1/20/2020,2:51:38 PM,6.60,0.49,-0.89,1.05
1/20/2020,2:51:38 PM,6.70,0.49,-0.89,1.05
1/20/2020,2:51:38 PM,6.80,0.49,-0.89,1.05
1/20/2020,2:51:39 PM,6.90,0.49,-0.89,1.05
1/20/2020,2:51:39 PM,7.00,0.49,-0.9,1.05
1/20/2020,2:51:39 PM,7.10,0.49,-0.9,1.05
1/20/2020,2:51:39 PM,7.20,0.49,-0.89,1.05
1/20/2020,2:51:39 PM,7.30,0.49,-0.89,1.05
1/20/2020,2:51:39 PM,7.40,0.49,-0.88,1.05
1/20/2020,2:51:39 PM,7.50,0.48,-0.89,1.05
1/20/2020,2:51:39 PM,7.60,0.49,-0.89,1.05
1/20/2020,2:51:39 PM,7.70,0.49,-0.9,1.05
1/20/2020,2:51:39 PM,7.80,0.49,-0.9,1.05
1/20/2020,2:51:40 PM,7.90,0.49,-0.9,1.06
1/20/2020,2:51:40 PM,8.00,0.49,-0.89,1.05
1/20/2020,2:51:40 PM,8.10,0.49,-0.89,1.05
1/20/2020,2:51:40 PM,8.20,0.48,-0.89,1.04
1/20/2020,2:51:40 PM,8.30,0.48,-0.89,1.05
1/20/2020,2:51:40 PM,8.40,0.49,-0.9,1.05
1/20/2020,2:51:40 PM,8.50,0.49,-0.9,1.05
1/20/2020,2:51:40 PM,8.60,0.49,-0.9,1.05
1/20/2020,2:51:40 PM,8.70,0.49,-0.9,1.05
1/20/2020,2:51:40 PM,8.80,0.49,-0.89,1.05
1/20/2020,2:51:41 PM,8.90,0.49,-0.89,1.05
1/20/2020,2:51:41 PM,9.00,0.48,-0.89,1.05
1/20/2020,2:51:41 PM,9.10,0.49,-0.89,1.05
1/20/2020,2:51:41 PM,9.20,0.49,-0.9,1.05
1/20/2020,2:51:41 PM,9.30,0.49,-0.9,1.05
1/20/2020,2:51:41 PM,9.40,0.49,-0.9,1.05
1/20/2020,2:51:41 PM,9.50,0.49,-0.89,1.05
1/20/2020,2:51:41 PM,9.60,0.49,-0.89,1.05
1/20/2020,2:51:41 PM,9.70,0.49,-0.89,1.05
1/20/2020,2:51:41 PM,9.80,0.48,-0.89,1.05
1/20/2020,2:51:42 PM,9.90,0.49,-0.89,1.05
1/20/2020,2:51:42 PM,10.00,0.49,-0.9,1.05
1/20/2020,2:51:42 PM,10.10,0.49,-0.9,1.05
1/20/2020,2:51:42 PM,10.20,0.49,-0.9,1.05